country_name,iso3_country_code,world_bank_region,world_bank_income_group,observation_year,factor_1,factor_2
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2022,-0.12598051440402475,-0.4024480786890227
Latvia,LVA,Europe & Central Asia,High income,2022,-0.13687215270782113,-0.32843535484164965
Lebanon,LBN,Middle East & North Africa,Lower middle income,2022,0.033035136310591504,-0.38637067731358704
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2022,-0.13262276757261687,-0.4344230425369261
Liberia,LBR,Sub-Saharan Africa,Low income,2022,-0.13170701224221731,-0.4175483213633518
Libya,LBY,Middle East & North Africa,Upper middle income,2022,-0.13655652730958648,-0.3243346572724511
Liechtenstein,LIE,Europe & Central Asia,High income,2022,-0.13376548953300121,-0.3688700635110682
Lithuania,LTU,Europe & Central Asia,High income,2022,-0.14081929559412903,-0.22360308390317837
Luxembourg,LUX,Europe & Central Asia,High income,2022,-0.16933727025464446,0.48613727685134345
"Macao SAR, China",MAC,East Asia & Pacific,High income,2022,-0.1355425587469628,-0.35510294710627877
Madagascar,MDG,Sub-Saharan Africa,Low income,2022,-0.08605179634570659,-0.4244670251605875
Malawi,MWI,Sub-Saharan Africa,Low income,2022,-0.12725112244090614,-0.42775679537576444
Malaysia,MYS,East Asia & Pacific,Upper middle income,2022,-0.16836521655507708,0.5810549511611453
Maldives,MDV,South Asia,Upper middle income,2022,-0.1333120296420364,-0.417670097455476
Mali,MLI,Sub-Saharan Africa,Low income,2022,-0.11970973880849747,-0.41474833169501696
Malta,MLT,Middle East & North Africa,High income,2022,-0.13779783689062713,-0.31686189901753253
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2022,-0.13475771563650144,-0.3846528204969086
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2022,-0.13252781322855475,-0.41969483869744456
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2022,-0.13332487925779996,-0.39171867156980983
Mexico,MEX,Latin America & Caribbean,Upper middle income,2022,-0.17903393766102302,1.7436421076700854
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2022,-0.13349783813882746,-0.3836987067800603
Moldova,MDA,Europe & Central Asia,Upper middle income,2022,-0.13330179287008673,-0.4084706948137973
