country_name,iso3_country_code,world_bank_region,world_bank_income_group,observation_year,cluster,n_factors,exact_log_likelihood,regularized_log_likelihood
Canada,CAN,North America,High income,2022,2,6,-inf,7.629873494355412
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2022,2,6,-inf,-26.417393740552463
Croatia,HRV,Europe & Central Asia,High income,2022,2,6,-inf,12.116338667123944
Cyprus,CYP,Europe & Central Asia,High income,2022,2,6,-inf,2.3812384803707616
Czechia,CZE,Europe & Central Asia,High income,2022,2,6,-inf,21.158590852319264
Denmark,DNK,Europe & Central Asia,High income,2022,2,6,-inf,14.255342835674954
Estonia,EST,Europe & Central Asia,High income,2022,2,6,-inf,16.79033372252801
Finland,FIN,Europe & Central Asia,High income,2022,2,6,-inf,18.843034688647364
France,FRA,Europe & Central Asia,High income,2022,2,6,-inf,12.871659047384238
Germany,DEU,Europe & Central Asia,High income,2022,2,6,-inf,-20.141361055616187
Greece,GRC,Europe & Central Asia,High income,2022,2,6,-inf,12.779497793769025
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2022,2,6,-inf,-13.245647327631282
Hungary,HUN,Europe & Central Asia,High income,2022,2,6,-inf,-135.26170017437545
Iceland,ISL,Europe & Central Asia,High income,2022,2,6,-inf,19.650455186821493
Ireland,IRL,Europe & Central Asia,High income,2022,2,6,-inf,-5.27061172444413
Israel,ISR,Middle East & North Africa,High income,2022,2,6,-inf,21.671488150361085
Italy,ITA,Europe & Central Asia,High income,2022,2,6,-inf,15.774525752278507
Japan,JPN,East Asia & Pacific,High income,2022,2,6,-inf,-0.881213780500083
"Korea, Rep.",KOR,East Asia & Pacific,High income,2022,2,6,-inf,3.3175657508912373
Kuwait,KWT,Middle East & North Africa,High income,2022,2,6,-inf,-0.14445844244009365
Latvia,LVA,Europe & Central Asia,High income,2022,2,6,-inf,18.813442751572556
Lithuania,LTU,Europe & Central Asia,High income,2022,2,6,-inf,13.71537662965591
Luxembourg,LUX,Europe & Central Asia,High income,2022,2,6,-inf,-32.14866959916702
