specification_id,scope,cluster,eigenvalue_rank,observed_eigenvalue,permutation_threshold,retain
9,cluster_2,2,27,0.06278515036087325,0.44542814225446686,False
9,cluster_2,2,28,0.046135201549945534,0.3958946190717159,False
9,cluster_2,2,29,0.04182886112597391,0.3480951272604011,False
9,cluster_2,2,30,0.02759047696448135,0.30272659095557725,False
9,cluster_2,2,31,0.01738816789999853,0.26314796113507194,False
9,cluster_2,2,32,0.011590098703263092,0.22610002541484645,False
9,cluster_2,2,33,0.007896467447123062,0.19400762890408768,False
9,cluster_2,2,34,0.003503746268029635,0.15997924526085566,False
9,cluster_2,2,35,0.00137383086398036,0.13250820178437764,False
9,cluster_2,2,36,0.0008259332805649581,0.10720423004362642,False
9,cluster_2,2,37,0.00029790114485623865,0.08128847927255306,False
9,cluster_2,2,38,0.00017859242322209855,0.060885817958601235,False
9,cluster_2,2,39,8.24830808891909e-05,0.043932298730968884,False
9,cluster_2,2,40,2.474519758580994e-05,0.030659607357258013,False
9,cluster_2,2,41,5.627558352039834e-06,0.018094946938115707,False
9,cluster_2,2,42,1.284646243802635e-07,0.00994259747539718,False
9,cluster_2,2,43,5.161666313194161e-16,0.0030622502640253496,False
9,cluster_3,3,1,11.416438644759143,2.84475450451069,True
9,cluster_3,3,2,3.717001690156771,2.5680651608151845,True
9,cluster_3,3,3,3.186173613486824,2.398631195540906,True
9,cluster_3,3,4,2.8056259353970385,2.241170565141493,True
9,cluster_3,3,5,2.4178364976727846,2.116122049368228,True
9,cluster_3,3,6,2.192978528306571,2.004225246859435,True
9,cluster_3,3,7,1.86673280951604,1.9032005788212998,False
9,cluster_3,3,8,1.7854903037002254,1.8028451651982151,False
9,cluster_3,3,9,1.6648994574020493,1.7120482266773127,False
9,cluster_3,3,10,1.3444624411286439,1.6370580340683667,False
9,cluster_3,3,11,1.1422015698219365,1.5603738166313046,False
9,cluster_3,3,12,1.063315139218105,1.490766521530346,False
9,cluster_3,3,13,0.9244089308255204,1.4139650898521783,False
9,cluster_3,3,14,0.8379457592216428,1.3469906024396519,False
9,cluster_3,3,15,0.7660635327480204,1.283838825896034,False
9,cluster_3,3,16,0.6780961754967958,1.2221253053457006,False
9,cluster_3,3,17,0.5897474695337055,1.1616194210049982,False
9,cluster_3,3,18,0.5229589857575812,1.110164044221098,False
9,cluster_3,3,19,0.48365971131726715,1.0475567156191792,False
9,cluster_3,3,20,0.439551826082514,0.9985881583235214,False
9,cluster_3,3,21,0.4094784994725,0.9479124955485693,False
9,cluster_3,3,22,0.37067194196256603,0.8989498299454887,False
9,cluster_3,3,23,0.35637402369112897,0.8522283461815167,False
9,cluster_3,3,24,0.2937417279316009,0.8055091671146607,False
9,cluster_3,3,25,0.27580596656357276,0.7557267792553277,False
9,cluster_3,3,26,0.25161420993916545,0.713656606082932,False
9,cluster_3,3,27,0.21952204113944992,0.6710843618387805,False
9,cluster_3,3,28,0.20904965398672232,0.6306676490141425,False
9,cluster_3,3,29,0.18351523021088978,0.5914938560233478,False
9,cluster_3,3,30,0.15125570207305147,0.5546005866372088,False
9,cluster_3,3,31,0.11886564615726633,0.5180232648109273,False
9,cluster_3,3,32,0.09654369924031139,0.48172407169101494,False
9,cluster_3,3,33,0.08647605833154613,0.444337235153499,False
9,cluster_3,3,34,0.044856919845516485,0.4121686443500528,False
9,cluster_3,3,35,0.03751951473067923,0.38379586649105113,False
9,cluster_3,3,36,0.023033415735336567,0.3506618081459179,False
9,cluster_3,3,37,0.016333876754151995,0.32133742398322235,False
9,cluster_3,3,38,0.003940766112866786,0.29184143379955774,False
9,cluster_3,3,39,0.002946981835966402,0.26147069971106784,False
9,cluster_3,3,40,0.0015256734356961811,0.22976990016981574,False
9,cluster_3,3,41,0.0008842956192995431,0.20625217906148952,False
9,cluster_3,3,42,0.00045125511202810746,0.17509548686204293,False
9,cluster_3,3,43,3.878569511423628e-06,0.14463633233549983,False
9,cluster_4,4,1,12.34438531215508,4.918307653241475,True
9,cluster_4,4,2,4.873296779158349,4.22497733464239,True
9,cluster_4,4,3,3.774784066820131,3.810425441765656,False
9,cluster_4,4,4,3.2026975391289962,3.4676270614870828,False
9,cluster_4,4,5,2.6357002061463866,3.1600318361023962,False
9,cluster_4,4,6,2.33017862961171,2.9139205368132033,False
9,cluster_4,4,7,2.1478766451512277,2.640956454414194,False
9,cluster_4,4,8,1.8884251942984926,2.419253104284051,False
9,cluster_4,4,9,1.4351933292226753,2.2328432651625576,False
9,cluster_4,4,10,1.3092690101773459,2.0432123608211903,False
9,cluster_4,4,11,1.0904476862717227,1.8655756798268013,False
9,cluster_4,4,12,1.0066226212726685,1.7261119528470585,False
9,cluster_4,4,13,0.8609665107305647,1.561088592861528,False
9,cluster_4,4,14,0.7628351958521009,1.4115922726396262,False
9,cluster_4,4,15,0.6636047426598635,1.2805762676176504,False
9,cluster_4,4,16,0.5665320044734702,1.1534289336115415,False
9,cluster_4,4,17,0.47950714697253927,1.0287675653337625,False
9,cluster_4,4,18,0.4198595187168806,0.9167446386551423,False
9,cluster_4,4,19,0.2884492371039924,0.8070276553361913,False
9,cluster_4,4,20,0.2688599527104026,0.7076905069052094,False
9,cluster_4,4,21,0.19421957850512245,0.6232861335823716,False
9,cluster_4,4,22,0.1374892598622142,0.5379995986089308,False
9,cluster_4,4,23,0.09433377595821989,0.4581763745501409,False
9,cluster_4,4,24,0.07285298810872257,0.37977016858389684,False
9,cluster_4,4,25,0.06172971866191565,0.307885333540044,False
9,cluster_4,4,26,0.0410340212372425,0.23988620517844322,False
9,cluster_4,4,27,0.030157743641494306,0.18214979905381418,False
9,cluster_4,4,28,0.018691585390477033,0.12742488618952302,False
9,cluster_4,4,29,1.381055178267194e-15,1.4686600201932292e-15,False
9,cluster_4,4,30,8.039569021264858e-16,1.060895550556377e-15,False
9,cluster_4,4,31,6.600224225971609e-16,8.380321543933321e-16,False
9,cluster_4,4,32,3.1859386447976937e-16,6.395010399232847e-16,False
9,cluster_4,4,33,2.564393856049021e-16,4.954116579901364e-16,False
9,cluster_4,4,34,1.6208825244852898e-16,3.53065174139694e-16,False
9,cluster_4,4,35,9.858898584963629e-17,2.2625428190282874e-16,False
9,cluster_4,4,36,-8.00696943670956e-17,1.1620252520524404e-16,False
9,cluster_4,4,37,-1.2551281614000817e-16,-4.9848651672019e-18,False
9,cluster_4,4,38,-2.6090764463263774e-16,-1.103698764049205e-16,False
9,cluster_4,4,39,-4.279165202526754e-16,-2.1916248821599507e-16,False
9,cluster_4,4,40,-4.892689602944287e-16,-3.433482367307807e-16,False
9,cluster_4,4,41,-7.195281063754193e-16,-4.87519322413085e-16,False
9,cluster_4,4,42,-1.4037822741974016e-15,-6.581309286427408e-16,False
9,cluster_4,4,43,-2.4904387912398323e-15,-8.877087069193258e-16,False
9,cluster_5,5,1,10.260628017564253,6.425388342728003,True
